driver_id,round,overtakes_made,positions_gained,positions_lost,sprint_positions_gained,sprint_positions_lost,sprint_overtakes
max_verstappen,1,13,14,0,0,0,0
antonelli,1,5,0,0,0,0,0
russell,1,4,0,0,0,0,0
norris,1,5,1,0,0,0,0
piastri,1,0,0,0,0,0,0
leclerc,1,6,1,0,0,0,0
hamilton,1,6,3,0,0,0,0
hadjar,1,4,0,0,0,0,0
gasly,1,6,4,0,0,0,0
bearman,1,9,5,0,0,0,0
lawson,1,7,0,5,0,0,0
hulkenberg,1,0,0,0,0,0,0
ocon,1,7,2,0,0,0,0
bortoleto,1,9,1,0,0,0,0
colapinto,1,4,2,0,0,0,0
albon,1,5,3,0,0,0,0
alonso,1,6,0,0,0,0,0
sainz,1,8,6,0,0,0,0
stroll,1,2,0,0,0,0,0
bottas,1,4,0,0,0,0,0
perez,1,2,2,0,0,0,0
arvid_lindblad,1,8,1,0,0,0,0
max_verstappen,2,16,0,0,0,1,16
antonelli,2,2,0,0,0,3,10
russell,2,6,0,0,0,0,4
norris,2,0,0,0,0,1,1
piastri,2,0,0,0,0,1,5
leclerc,2,11,0,0,4,0,5
hamilton,2,10,0,0,1,0,8
hadjar,2,9,1,0,0,5,8
gasly,2,7,1,0,0,4,4
bearman,2,13,5,0,1,0,3
lawson,2,8,7,0,6,0,6
hulkenberg,2,10,0,0,0,0,7
ocon,2,16,0,1,2,0,7
bortoleto,2,0,0,0,1,0,5
colapinto,2,6,2,0,2,0,7
albon,2,0,0,0,6,0,7
alonso,2,7,0,0,1,0,5
sainz,2,6,8,0,5,0,7
stroll,2,1,0,0,1,0,4
bottas,2,5,6,0,0,0,2
perez,2,5,6,0,2,0,7
arvid_lindblad,2,8,3,0,0,0,6
max_verstappen,3,6,3,0,0,0,0
antonelli,3,5,0,0,0,0,0
russell,3,8,0,2,0,0,0
norris,3,8,0,0,0,0,0
piastri,3,6,1,0,0,0,0
leclerc,3,8,1,0,0,0,0
hamilton,3,6,0,0,0,0,0
hadjar,3,6,0,4,0,0,0
gasly,3,4,0,0,0,0,0
bearman,3,6,0,0,0,0,0
lawson,3,3,5,0,0,0,0
hulkenberg,3,8,2,0,0,0,0
ocon,3,6,2,0,0,0,0
bortoleto,3,5,0,4,0,0,0
colapinto,3,5,0,1,0,0,0
albon,3,2,0,3,0,0,0
alonso,3,1,3,0,0,0,0
sainz,3,3,1,0,0,0,0
stroll,3,3,0,0,0,0,0
bottas,3,1,1,0,0,0,0
perez,3,2,2,0,0,0,0
arvid_lindblad,3,4,0,4,0,0,0
max_verstappen,4,20,0,3,0,0,2
antonelli,4,6,0,0,0,4,0
russell,4,13,1,0,2,0,3
norris,4,4,2,0,0,0,0
piastri,4,9,4,0,1,0,1
leclerc,4,12,0,5,1,0,1
hamilton,4,3,0,0,0,0,2
hadjar,4,6,0,0,0,0,3
gasly,4,5,0,0,2,0,2
bearman,4,2,1,0,1,0,2
lawson,4,4,0,0,1,0,3
hulkenberg,4,0,0,0,0,0,0
ocon,4,4,1,0,5,0,4
bortoleto,4,8,9,0,0,0,0
colapinto,4,5,1,0,0,2,0
albon,4,9,5,3,0,0,5
alonso,4,8,2,0,5,0,5
sainz,4,9,4,0,1,0,3
stroll,4,6,1,0,4,0,6
bottas,4,2,1,0,0,0,1
perez,4,11,4,0,1,0,3
arvid_lindblad,4,4,2,0,0,0,0
